time,name,price,size
2023-07-25 12:04:41.123,pound,5.16,4
2023-07-25 12:33:41.123,dollar,4.14,17
2023-07-25 12:43:42.123,euro,4.15,54
2023-08-01 03:43:41.123,dollar,4.21,345
2023-08-01 03:48:32.193,dollar,5.05,261
2023-08-01 06:13:40.123,dollar,4.64,960
2023-08-01 08:43:40.124,euro,4.44,2304
2023-08-01 12:03:44.133,yen,12.31,41
2023-08-01 12:49:41.123,pound,5.14,1064
2023-08-01 13:43:49.123,euro,4.45,37
2023-08-01 13:45:55.123,pound,5.12,1447
2023-08-01 13:45:55.124,pound,5.13,1
2023-08-01 14:43:40.123,euro,4.23,5342
2023-08-01 17:03:40.123,dollar,4.33,2383
2023-08-01 17:43:42.123,euro,3.98,90060
2023-08-01 18:33:40.123,dollar,4.34,345
2023-08-01 18:44:00.123,pound,5.23,1522
2023-08-01 22:53:40.123,dollar,4.29,725
2023-08-02 11:43:40.120,euro,6,9
2023-08-02 17:44:43.123,euro,4.42,3464
2023-08-01 20:41:42.123,franc,5.82,142
2023-08-02 23:42:59.123,franc,6.67,1521
2023-09-21 01:43:32.123,pound,5.04,1064
